Date,Month,Day,GHI_kWh_per_m2_per_day
2022-06-01,june,1,340.7917
2022-06-02,june,2,138.0000
2022-06-03,june,3,385.2500
2022-06-04,june,4,363.1667
2022-06-05,june,5,246.7500
2022-06-06,june,6,82.0833
2022-06-07,june,7,174.7083
2022-06-08,june,8,141.0000
2022-06-09,june,9,427.2500
2022-06-10,june,10,128.8750
2022-06-11,june,11,362.0000
2022-06-12,june,12,260.1667
2022-06-13,june,13,347.7917
2022-06-14,june,14,321.9167
2022-06-15,june,15,344.5833
2022-06-16,june,16,355.1250
2022-06-17,june,17,178.1250
2022-06-18,june,18,454.1667
2022-06-19,june,19,449.0000
2022-06-20,june,20,443.4583
2022-06-21,june,21,421.7083
2022-06-22,june,22,357.8750
2022-06-23,june,23,414.4583
2022-06-24,june,24,377.1250
2022-06-25,june,25,295.9167
2022-06-26,june,26,89.3750
2022-06-27,june,27,322.0417
2022-06-28,june,28,364.8333
2022-06-29,june,29,418.1667
2022-06-30,june,30,220.0417
2022-07-01,july,1,341.0833
2022-07-02,july,2,235.2083
2022-07-03,july,3,200.3333
2022-07-04,july,4,197.7500
2022-07-05,july,5,256.2500
2022-07-06,july,6,139.6250
2022-07-07,july,7,117.3750
2022-07-08,july,8,301.5833
2022-07-09,july,9,96.2500
2022-07-10,july,10,404.7917
2022-07-11,july,11,395.0000
2022-07-12,july,12,257.2083
2022-07-13,july,13,206.7083
2022-07-14,july,14,406.3333
2022-07-15,july,15,277.7500
2022-07-16,july,16,217.9583
2022-07-17,july,17,92.0000
2022-07-18,july,18,52.1667
2022-07-19,july,19,228.8333
2022-07-20,july,20,273.8333
2022-07-21,july,21,328.4583
2022-07-22,july,22,397.0000
2022-07-23,july,23,379.3333
2022-07-24,july,24,196.0000
2022-07-25,july,25,68.4583
2022-07-26,july,26,82.2917
2022-07-27,july,27,204.2083
2022-07-28,july,28,78.8750
2022-07-29,july,29,50.2083
2022-07-30,july,30,76.5417
2022-07-31,july,31,38.7083
2022-08-01,august,1,129.5417
2022-08-02,august,2,260.2917
2022-08-03,august,3,329.6250
2022-08-04,august,4,171.0833
2022-08-05,august,5,46.5417
2022-08-06,august,6,197.0000
2022-08-07,august,7,203.5417
2022-08-08,august,8,170.8333
2022-08-09,august,9,225.6667
2022-08-10,august,10,111.3750
2022-08-11,august,11,239.4583
2022-08-12,august,12,353.7500
2022-08-13,august,13,380.9583
2022-08-14,august,14,218.1667
2022-08-15,august,15,237.0000
2022-08-16,august,16,18.9167
2022-08-17,august,17,205.9583
2022-08-18,august,18,320.1250
2022-08-19,august,19,162.3333
2022-08-20,august,20,75.0000
2022-08-21,august,21,98.7500
2022-08-22,august,22,258.0417
2022-08-23,august,23,274.1667
2022-08-24,august,24,320.0417
2022-08-25,august,25,171.0000
2022-08-26,august,26,216.5000
2022-08-27,august,27,348.7083
2022-08-28,august,28,345.5833
2022-08-29,august,29,164.8333
2022-08-30,august,30,132.2917
2022-08-31,august,31,403.9167
